鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
苓雅區,房地(土地+建物)+車位,高雄市苓雅區青年一路91~120號,28.85,商,,,1081116,土地3建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1061228,222.14,3,2,2,有,有,17600000,79229,坡道平面,17.67,0,,RPSNMLKLJHPFFBE77CA
新興區,房地(土地+建物),高雄市新興區南海街31~60號,60.0,商,,,1081224,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1070803,284.14,4,2,5,有,無,21100000,74259,,0.0,0,,RPSOMLKKJHPFFBE77CA
苓雅區,房地(土地+建物),高雄市苓雅區忠孝二路61~90號,79.0,商,,,1081210,土地1建物1車位0,一層，二層，騎樓,二層,店面(店鋪),住家用,加強磚造,0541015,96.12,3,2,2,有,無,18500000,192468,,0.0,0,,RPPNMLNKJHPFFBE67CA
苓雅區,房地(土地+建物),高雄市苓雅區大順三路282巷19弄1~30號,68.66,住,,,1081124,土地2建物1車位0,全,二層,透天厝,,加強磚造,0640228,68.08,4,2,2,有,無,6500000,95476,,0.0,0,含增建或未登記建物。登記2人共有。,RPSNMLOKJHPFFBE08CA
苓雅區,房地(土地+建物),高雄市苓雅區三多四路61~90號,2.94,商,,,1081226,土地2建物1車位0,十三層,十九層,套房(1房1廳1衛),,鋼筋混凝土造,0790530,39.339999999999996,1,0,1,有,有,1900000,48297,,0.0,0,,RPPNMLOKJHPFFBE77CA
新興區,房地(土地+建物),高雄市新興區達仁街31~60號,9.57,商,,,1090101,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0691210,30.38,1,1,1,有,無,1600000,52666,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUNMLKKJHPFFBE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北一街61~90號,17.4,商,,,1081201,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930510,181.88,3,2,2,有,有,12000000,65978,坡道平面,25.25,0,,RPROMLNJKHPFFAE87CA
前金區,房地(土地+建物)+車位,高雄市前金區旺盛街121~150號,41.19,住,,,1081104,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1080612,315.57,4,2,2,有,有,23500000,76690,坡道平面,67.82,4500000,,RPRNMLLJKHPFFAE57CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街91~120號,35.9,住,,,1081110,土地1建物1車位3,十一層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,445.12,4,2,4,有,有,37210000,82338,坡道平面,62.43,5700000,,RPROMLKMJHPFFAE77CA
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路1~30號,53.95,商,,,1081028,土地3建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0681218,499.64,11,11,0,有,有,16500000,33024,,0.0,0,,RPUOMLKMJHPFFAE08CA
鼓山區,車位,高雄市鼓山區美術北五街61~90號,2.49,住,,,1080731,土地0建物0車位1,二十八層,二十九層,其他,見其它登記事項,見其它登記事項,1071213,20.81,0,0,0,有,有,1900000,,坡道平面,20.81,1900000,單獨車位交易。;,RPWNMLKMJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,16.21,住,,,1081016,土地1建物1車位1,九層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,214.01,3,2,2,有,有,19880000,94617,坡道平面,20.81,1600000,,RPRNMLKMJHPFFAE67CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,22.67,住,,,1081202,土地1建物1車位2,八層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,285.35,3,2,3,有,有,25620000,91987,坡道平面,41.62,3200000,,RPTNMLKMJHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北五街61~90號,33.51,住,,,1080726,土地1建物1車位2,二十六層,二十九層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1071213,428.26,4,2,4,有,有,38900000,90782,坡道平面,41.62,3800000,,RPUNMLKMJHPFFAE97CA
前金區,土地,後金段271~300地號,17.33,商,,,1081220,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2000000,115407,,0.0,0,地上建物破舊無建號不單獨計價  兄弟間買賣,RPVNMLLLJHPFFAE08CA
前金區,土地,東金段1681~1710地號,30.96,其他,,,1081230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,190000,6137,,0.0,0,包含公共設施保留地之交易。;,RPRNMLKLJHPFFAE57CA
前金區,土地,東金段1681~1710地號,22.31,其他,,,1081230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,130000,5827,,0.0,0,包含公共設施保留地之交易。;,RPSNMLKLJHPFFAE67CA
前金區,房地(土地+建物),高雄市前金區中華三路61~90號,65.6,商,,,1081128,土地1建物2車位0,三層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0800704,764.09,6,4,4,有,有,20600000,26960,,0.0,0,天井、陽台增建，大樓門廳電梯全部更新裝潢,RPOPMLQKJHPFFAE97CA
前金區,房地(土地+建物),高雄市前金區自強二路61~90號,75.0,商,,,1081121,土地1建物1車位0,全,二層,透天厝,,加強磚造,0481224,118.28,0,0,0,無,無,14000000,118363,,0.0,0,"含增建或未登記建物。;瑕疵物件之交易。;房屋年久失修,不堪使用,雙方約定由買方自行處理",RPXPMLKLJHPFFAE38CA
鼓山區,房地(土地+建物),高雄市鼓山區民強街241~270號,73.5,住,,,1081201,土地2建物1車位0,全,四層,透天厝,住商用,鋼筋混凝土造,0820810,239.71,6,2,4,有,無,13300000,55484,,0.0,0,,RPOQMLKLJHPFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區富農路181~210號,13.25,商,,,1081214,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940915,160.89,3,2,2,有,有,8800000,54696,,0.0,0,,RPPNMLNKJHPFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓山一路121~150號,13.37,商,,,1081203,土地4建物1車位0,十二層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0740419,108.0,5,0,4,有,有,3700000,34259,,0.0,0,,RPROMLOKJHPFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區華泰路172巷1~30號,29.37,住,,,1081216,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0720606,93.34,3,2,2,有,無,5150000,55175,,0.0,0,含增建或未登記建物。;,RPRPMLOKJHPFFAE08CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街61~90號,16.24,住,,,1081226,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950316,135.99,3,1,2,有,無,8700000,63975,坡道平面,9.95,0,,RPRNMLOKJHPFFAE87CA
前金區,房地(土地+建物),高雄市前金區八德二路181~210號,3.9,商,,,1081213,土地2建物1車位0,十二層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840821,49.25,1,1,1,有,有,1490000,30254,,0.0,0,,RPXOMLTJJHPFFAE98CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術北三路211~240號,19.07,商,,,1081123,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0951030,188.15,4,2,2,有,有,9000000,44167,坡道機械,7.02,1000000,,RPOOMLNKJHPFFAE57CA
鹽埕區,房地(土地+建物),高雄市鹽埕區田單街1~30號,21.47,住,,,1081220,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0680811,73.72,2,2,2,有,無,2500000,33912,,0.0,0,,RPSNMLKKJHPFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路421~450號,6.6,商,,,1081127,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980325,73.92999999999999,2,1,1,有,無,4460000,60327,,0.0,0,含家具家電,RPTNMLKKJHPFFAE67CA
鹽埕區,建物,高雄市鹽埕區府北路31~60號,0.0,,,,1090103,土地0建物1車位0,九層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0700114,27.2,1,1,1,有,有,600000,22059,,0.0,0,本買賣標的未含土地持分，僅為建物所有權移轉登記。,RPUNMLKKJHPFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區美術東四路451~480號,6.09,商,,,1081227,土地1建物1車位0,八層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0980325,62.989999999999995,1,1,1,有,有,3600000,57152,,0.0,0,,RPPNMLOKJHPFFAE67CA
鼓山區,房地(土地+建物),高雄市鼓山區富農路121~150號,8.95,住,,,1081230,土地1建物1車位0,四層,十五層,辦公商業大樓,住家用,鋼筋混凝土造,0940929,86.44,2,2,1,有,無,6680000,77279,,0.0,0,,RPQNMLMKJHPFFAE57CA
鼓山區,房地(土地+建物),高雄市鼓山區青雲街31~60號,24.05,住,,,1081205,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770125,108.22,3,2,2,有,無,4430000,40935,,0.0,0,含增建或未登記建物。;,RPSNMLOKJHPFFAE97CA
鹽埕區,房地(土地+建物),高雄市鹽埕區新興街251巷1弄1~30號,20.0,商,,,1081127,土地1建物1車位0,全,二層,透天厝,,加強磚造,0490204,34.74,2,2,2,有,無,1200000,34542,,0.0,0,,RPTNMLQKJHPFFAE28CA
前金區,房地(土地+建物),高雄市前金區市中一路1~30號,8.62,商,,,1081124,土地1建物2車位0,九層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0710226,74.11,1,1,1,有,有,2400000,32384,,0.0,0,,RPPNMLRKJHPFFAE97CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕國街151~180號,40.79,住,,,1081101,土地1建物2車位2,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940909,324.62,5,2,3,有,有,19000000,58530,坡道平面,45.86,0,含增建或未登記建物。;,RPQPMLQKJHPFFAE18CA
鼓山區,房地(土地+建物),高雄市鼓山區鼓山三路121~150號,47.0,住,,,1081217,土地1建物1車位0,全,二層,透天厝,,加強磚造,0571121,67.86,2,2,2,有,無,4000000,58945,,0.0,0,,RPXNMLKLJHPFFAE18CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區中華一路811~840號,34.77,商,,,1081219,土地1建物1車位2,五層,十三層,辦公商業大樓,商業用,鋼筋混凝土造,0980818,338.53,0,0,0,無,有,16800000,42522,坡道平面,37.51,4000000,,RPSOMLLLJHPFFAE87CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東六街211~240號,20.07,商,,,1081203,土地1建物1車位1,八層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950414,140.82,3,2,2,有,有,8280000,58798,坡道機械,5.37,0,,RPRNMLLMJHPFFAE77CA
鼓山區,土地,鼓南段二小段631~660地號,36.0,商,,,1081202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3500000,97222,,0.0,0,含增建或未登記建物。;,RPTNMLNJKHPFFAE97CA
鼓山區,房地(土地+建物),高雄市鼓山區華豐街120巷1~30號,24.2,住,,,1081213,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690405,77.64,2,2,2,有,無,2800000,36064,,0.0,0,,RPUNMLOJKHPFFAE18CA
苓雅區,房地(土地+建物),高雄市苓雅區成功一路211~240號,8.04,商,,,1081213,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710918,68.87,2,1,1,有,有,3650000,52998,,0.0,0,,RPVNMLNKJHPFFBE28CA
