,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
875,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,24.12,住,,,1080421,土地1建物1車位1,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,120.67,2,2,1,有,無,8180000,71367,坡道平面,28.47,1600000,,RPSRMLOKJHPFFAH68CA
885,桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1291~1320號,54.31,住,,,1081212,土地1建物1車位4,十二層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920124,586.52,5,2,5,有,有,42800000,72973,坡道平面,0.0,0,,RPVOMLTKJHPFFAH56CA
886,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路469巷31~60號,22.23,住,,,1081120,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070912,166.12,3,2,2,有,有,11500000,75668,坡道平面,39.91,1950000,,RPRPMLKLJHPFFAH08CA
888,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,28.2,住,,,1071026,土地1建物1車位1,九層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,136.42000000000002,2,2,1,有,無,8880000,68365,坡道平面,28.47,1500000,,RPTSMLKLJHPFFAH58CA
889,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路301~330號,23.88,住,,,1081129,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,171.3,4,2,2,有,有,12580000,77553,坡道平面,27.14,1400000,,RPQNMLLMJHPFFAH97CA
890,桃園區,房地(土地+建物)+車位,桃園市桃園區力行路271~300號,19.37,住,,,1081213,土地1建物1車位1,五層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061124,144.59,3,2,2,有,有,10700000,79608,坡道平面,27.14,1350000,,RPRNMLLMJHPFFAH08CA
891,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,33.78,住,,,1070503,土地1建物1車位1,八層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,158.32999999999998,3,2,2,有,無,9860000,64377,坡道平面,28.47,1500000,,RPRNMLKMJHPFFAH97CA
892,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,42.35,住,,,1081030,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,191.7,3,2,2,有,無,12750000,66510,坡道平面,28.47,0,,RPSNMLKMJHPFFAH08CA
894,桃園區,房地(土地+建物)+車位,桃園市桃園區愛九街1~30號,36.38,住,,,1081202,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990710,292.4,4,2,3,有,有,16500000,56431,坡道平面,11.16,0,,RPVNMLTKJHPFFAH09CA
896,桃園區,房地(土地+建物)+車位,桃園市桃園區桃鶯路331~360號,13.16,商,,,1081121,土地1建物1車位1,十四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061106,143.79,3,2,1,有,有,10380000,76158,坡道平面,31.13,1800000,,RPWQMLPJKHPFFAH09CA
974,楊梅區,房地(土地+建物)+車位,桃園市楊梅區裕成南路361~390號,27.58,,山坡地保育區,丙種建築用地,1081118,土地2建物1車位1,七層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861224,117.10000000000001,3,2,2,有,有,3200000,27327,坡道平面,0.0,0,,RPPOMLNKJHPFFDH28CA
980,大園區,房地(土地+建物)+車位,桃園市大園區致遠一路121~150號,47.71,住,,,1081209,土地1建物1車位2,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020715,269.46000000000004,4,2,3,有,有,19680000,73035,坡道平面,58.7,0,,RPPPMLKKJHPFFEH18CA
