鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
士林區,土地,溪洲段二小段151~180地號,165.53,其他,,,1081218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9012600,54447,,0.0,0,,RPUNMLNJJHPFFEA97CA
士林區,房地(土地+建物),臺北市士林區福港街107巷1~30號,17.3,商,,,1081126,土地1建物1車位0,三層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650227,64.42,2,1,2,有,無,8000000,124185,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPOPMLQJJHPFFEA87CA
北投區,房地(土地+建物),臺北市北投區義理街1~30號,13.67,住,,,1081124,土地1建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0630830,29.85,0,0,0,無,無,4600000,154104,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPQNMLRJJHPFFEA97CA
北投區,房地(土地+建物),臺北市北投區義理街1~30號,13.67,住,,,1081124,土地1建物1車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0630830,29.85,0,0,0,無,無,4600000,154104,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPRNMLRJJHPFFEA08CA
士林區,房地(土地+建物),臺北市士林區福壽街31~60號,11.35,商,,,1081130,土地1建物1車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030905,62.0,2,1,1,有,有,15180000,244839,,0.0,0,,RPVNMLRJJHPFFEA48CA
北投區,房地(土地+建物)+車位,臺北市北投區大業路691~720號,14.57,其他,,,1081201,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880812,149.85,3,2,2,有,有,19800000,132132,坡道平面,0.0,0,,RPXNMLRJJHPFFEA68CA
北投區,房地(土地+建物),臺北市北投區文化三路1~30號,34.4,住,,,1081210,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0741127,128.35,3,2,2,有,有,13500000,105181,,0.0,0,,RPSOMLRJJHPFFEA28CA
北投區,房地(土地+建物)+車位,臺北市北投區北投路二段1~30號,48.81,住,,,1081203,土地1建物1車位1,十一層，十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0791016,250.44,5,2,3,有,有,38800000,154927,坡道平面,0.0,0,,RPQQMLNKJHPFFEA97CA
士林區,房地(土地+建物),臺北市士林區忠誠路二段70巷13弄1~30號,38.58,住,,,1081125,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690310,129.87,3,2,2,有,無,21000000,161700,,0.0,0,,RPWOMLOKJHPFFEA48CA
北投區,房地(土地+建物)+車位,臺北市北投區三合街一段117巷38弄1~30號,39.58,住,,,1081031,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1070614,245.48000000000002,3,2,2,有,有,44350000,201777,坡道平面,39.56,2800000,,RPROMLMLJHPFFEA87CA
