鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區河北西街61~90號,14.43,商,,,1080905,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081121,159.45999999999998,3,2,2,有,有,9670000,67702,坡道平面,35.83,1300000,,RPURMLRJJHPFFBB58CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北西街61~90號,14.43,商,,,1070520,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081121,158.41,3,2,2,有,有,10580000,74890,坡道平面,35.83,1400000,,RPVRMLRJJHPFFBB68CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北西街61~90號,14.22,商,,,1080809,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081121,155.36,3,2,2,有,有,9780000,70945,坡道平面,35.83,1300000,,RPWRMLRJJHPFFBB78CA
北區,土地,賴厝段151~180地號,38.35,其他,,,1081115,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1938000,50535,,0.0,0,包含公共設施保留地之交易。;,RPXNMLSJJHPFFBB58CA
北區,土地,賴厝段91~120地號,10.0,其他,,,1081217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,602000,60200,,0.0,0,包含公共設施保留地之交易。;,RPRPMLSJJHPFFBB18CA
北區,房地(土地+建物),臺中市北區健行路609巷1~30號,55.0,商,,,1081126,土地1建物1車位0,全,三層,透天厝,,加強磚造,0580108,140.4,4,2,3,有,無,10000000,71225,,0.0,0,含增建或未登記建物。,RPPPMLSJJHPFFBB97CA
北區,房地(土地+建物)+車位,臺中市北區育隆路1~30號,22.58,商,,,1081118,土地1建物1車位2,二十層,二十層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050122,259.85,4,2,2,有,有,19800000,88949,坡道平面,66.48,2600000,,RPQQMLSJJHPFFBB18CA
北屯區,房地(土地+建物),臺中市北屯區一新一街28巷1~30號,55.0,住,,,1081113,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0620507,78.4,5,2,3,有,無,5580000,71173,,0.0,0,含增建或未登記建物。;,RPRNMLTJJHPFFBB08CA
北屯區,房地(土地+建物)+車位,臺中市北屯區建和路一段91~120號,17.69,住,,,1081216,土地2建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001221,128.87,2,2,1,有,有,6370000,49430,坡道平面,33.14,0,,RPOPMLTJJHPFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十五路301~330號,15.96,商,,,1081207,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070907,155.55,3,2,2,有,有,9150000,58824,坡道平面,0.0,0,,RPPPMLTJJHPFFBB08CA
北區,土地,乾溝子段121~150地號,13.0,其他,,,1081209,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,550000,42308,,0.0,0,,RPPOMLTJJHPFFBB97CA
北區,房地(土地+建物),臺中市北區北屯路1~30號,20.08,住,,,1081215,土地3建物1車位0,九層,十層,華廈(10層含以下有電梯),商業用,鋼骨混凝土造,0691021,114.63,5,0,5,有,有,5000000,43619,,0.0,0,隔成五間套房,RPRNNLPKJHPFFBB87CA
北區,房地(土地+建物),臺中市北區健行路766巷100弄1~30號,79.0,住,,,1081118,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1030620,278.76,0,0,0,無,無,29800000,106902,,0.0,0,,RPVNNLPKJHPFFBB28CA
北屯區,房地(土地+建物),臺中市北屯區柳陽東街31~60號,27.06,住,,,1081118,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770406,117.82000000000001,3,2,2,有,有,5200000,44135,,0.0,0,,RPQPNLPKJHPFFBB97CA
北區,房地(土地+建物),臺中市北區健行路86巷7弄31~60號,211.0,住,,,1081129,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0590814,140.44,4,2,2,有,無,21250000,151310,,0.0,0,含增建或未登記建物。;,RPXSMLRKJHPFFBB09CA
北屯區,房地(土地+建物),臺中市北屯區東光路781~810號,10.98,住,,,1081205,土地1建物1車位0,十一層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830824,131.92000000000002,3,1,2,有,有,5100000,38660,,0.0,0,,RPRSMLKLJHPFFBB87CA
北屯區,房地(土地+建物),臺中市北屯區和祥街205巷31~60號,113.2,住,,,1081119,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070723,268.8,3,3,5,有,無,18200000,67708,,0.0,0,,RPPVMLMLJHPFFBB18CA
北區,房地(土地+建物),臺中市北區梅豐街91~120號,23.88,住,,,1081016,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670802,87.61,3,2,1,有,無,3920000,44744,,0.0,0,,RPRVMLMLJHPFFBB38CA
西屯區,土地,廣順段601~630地號,398.52,其他,,,1081209,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,37639,,0.0,0,包含公共設施保留地之交易。;,RPUNMLNJJHPFFCB87CA
南屯區,房地(土地+建物),臺中市南屯區龍富十一街31~60號,143.72,住,,,1081008,土地1建物1車位0,全,五層,透天厝,見其他登記事項,鋼筋混凝土造,1080423,282.45,4,3,5,有,無,39800000,140910,,0.0,0,,RPXOMLNJJHPFFCB28CA
南屯區,房地(土地+建物),臺中市南屯區黎明路二段511~540號,24.98,住,,,1081108,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0720303,79.67,3,2,1,有,有,3700000,46442,,0.0,0,,RPWQMLNJJHPFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路61~90號,34.17,住,,,1060315,土地1建物1車位2,二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,260.85,0,0,0,無,有,19240000,84650,坡道平面,53.88,1720000,土地及建物分次登記案件。前案土地登記收件字號：;,RPSPMLQJJHPFFCB18CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路61~90號,24.87,住,,,1060330,土地1建物1車位2,二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,188.55,0,0,0,無,有,14760000,96829,坡道平面,53.88,1720000,土地及建物分次登記案件。前案土地登記收件字號：;,RPUPMLQJJHPFFCB38CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路91~120號,22.2,住,,,1060430,土地1建物1車位1,二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,163.78,0,0,0,無,有,16800000,116486,坡道平面,26.94,860000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXQMLQJJHPFFCB78CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路91~120號,31.15,住,,,1051221,土地1建物1車位2,二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,231.05,0,0,0,無,有,20370000,105040,坡道平面,53.88,1760000,土地及建物分次登記案件。前案土地登記收件字號：;,RPPRMLQJJHPFFCB08CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路91~120號,31.61,住,,,1051221,土地1建物1車位2,二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,235.10999999999999,0,0,0,無,有,20680000,104398,坡道平面,53.88,1760000,土地及建物分次登記案件。前案土地登記收件字號：;,RPTRMLQJJHPFFCB48CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路91~120號,25.11,住,,,1060123,土地1建物1車位2,二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,190.72,0,0,0,無,有,17350000,114221,坡道平面,53.88,1720000,土地及建物分次登記案件。前案土地登記收件字號：;,RPURMLQJJHPFFCB58CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路91~120號,23.48,住,,,1060408,土地1建物1車位2,二層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,179.62,0,0,0,無,有,15600000,110387,坡道平面,53.88,1720000,土地及建物分次登記案件。前案土地登記收件字號：;,RPVSMLQJJHPFFCB78CA
南屯區,房地(土地+建物)+車位,臺中市南屯區精科路91~120號,18.71,住,,,1051222,土地1建物1車位2,一層,十五層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1080825,145.78,0,0,0,無,有,12450000,116757,坡道平面,53.88,1720000,土地及建物分次登記案件。前案土地登記收件字號：;,RPXSMLQJJHPFFCB98CA
